date	AAPL	AMZN	GOOG	META	SPY	TSLA
2023-10	-0.0025701108473923373	0.046963447626806376	-0.0496776316080515	0.003530906341597806	-0.02170855382618131	-0.1973463537763216
2023-11	0.11378021794591286	0.0976782655173829	0.06879486785596423	0.08590302940920047	0.09134384751034208	0.19537943740621855
2023-12	0.013582490808935255	0.04004385139407618	0.05234471707974575	0.08195010092799726	0.04565530281602137	0.03498831153123483
2024-01	-0.04222729782011536	0.021455801332457725	0.006173341728555215	0.10221505734105918	0.015926452756150677	-0.24625725810339172
2024-02	-0.01854293041337829	0.1389175127740745	-0.014245580770836597	0.2576256320021242	0.05218685306039661	0.07790064669600238
2024-03	-0.05128646170866957	0.020479805886374214	0.08928334744963795	-0.009283360121076445	0.032701961970842186	-0.12923524353897475
2024-04	-0.00670622876800786	-0.029825949313549094	0.08130823286421585	-0.11411088371905109	-0.04031961762320124	0.042607689739043275
2024-05	0.13022228233345423	0.00822858537946436	0.056608232822957794	0.08522210378574502	0.05057969836764631	-0.02837187354253501
2024-06	0.09555259594692211	0.09527316552932019	0.05558022725116962	0.0811657303970219	0.03528010238526291	0.11118599982126098
2024-07	0.054410857279600044	-0.032445041513381345	-0.05599171324081775	-0.05828803770216018	0.012109038346461487	0.17278149180183244
2024-08	0.03235348509861469	-0.0453524222981363	-0.04643373059985256	0.09788764253632509	0.023365694906978707	-0.07739046902676983
2024-09	0.017467274048228454	0.043865556476496925	0.013930606047943384	0.09912738456087333	0.02100458893667101	0.22194201175563166
2024-10	-0.03042919963095303	0.00037563497419568215	0.03289669866236444	-0.00848994882195142	-0.008923564198756617	-0.045025412068364634
2024-11	0.05170692422492418	0.1152897328156477	-0.012739482642833977	0.01187505113817	0.059633414664085116	0.3814688622385134
2024-12	0.055155291044891586	0.05531771626226978	0.11828276253025738	0.02030619306714665	-0.02406008195782694	0.17000808915631316
2025-01	-0.0575832459308947	0.08336748865953902	0.07960514977063826	0.1770592350502762	0.026856310796173677	0.0018819576379678349
2025-02	0.025872407000720132	-0.10686635257151178	-0.16235401939043537	-0.030441910954975393	-0.012694776777301908	-0.2758773935575025
2025-03	-0.0815001347836245	-0.1037309421475675	-0.09181293955577474	-0.1366764968094123	-0.05571919842012785	-0.11543452131892018
2025-04	-0.043353014323267214	-0.030694820280155133	0.029827807389054106	-0.04747037407021881	-0.008670139114213993	0.08874826236685496
2025-05	-0.05358406523857118	0.1116473080052216	0.07433654771223797	0.1793989697259648	0.06284494761614745	0.2278848417863253
2025-06	0.021508544579914357	0.07014294555445688	0.027499098927746157	0.14080207012618495	0.05138613494267763	-0.08312644606383923
2025-07	0.011697684229461602	0.06709513314943583	0.08720898175732161	0.04789385345923347	0.023031548217528286	-0.02955995259140498
2025-08	0.11963891074454769	-0.021827348669553603	0.10717618014896901	-0.044916205684624955	0.020519507582030583	0.08304410748975077
2025-09	0.032523490443734815	0.014541492712029314	0.10134407115327804	0.018613780658969903	0.003395089501356807	0.05082817105127013
