curr_state	curr_action	next_reward	next_state	old_value	new_value
1791	1	0	1904	0.0	0.0
1904	1	0	2033	0.0	0.0
2033	1	0	2042	0.0	0.0
2042	-1	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	-1	0	2040	0.0	0.0
2040	1	0	2041	0.0	0.0
2041	0	0	2041	0.0	0.0
2041	1	0	2042	0.0	0.0
2042	1	0	2043	0.0	0.0
2043	0	0	1915	0.0	0.0
1915	1	0	1788	0.0	0.0
1788	1	0	1661	0.0	0.0
1661	0	0	1525	0.0	0.0
1525	0	0	1389	0.0	0.0
1389	-1	0	1252	0.0	0.0
1252	-1	0	1123	0.0	0.0
1123	0	0	1003	0.0	0.0
1003	-1	0	882	0.0	0.0
882	0	0	890	0.0	0.0
890	-1	0	889	0.0	0.0
889	1	0	1018	0.0	0.0
1018	0	0	1018	0.0	0.0
1018	1	0	1019	0.0	0.0
1019	-1	0	890	0.0	0.0
890	0	0	890	0.0	0.0
890	-1	0	889	0.0	0.0
889	1	0	1018	0.0	0.0
1018	0	0	1018	0.0	0.0
1018	1	0	1019	0.0	0.0
1019	-1	0	890	0.0	0.0
890	0	0	890	0.0	0.0
890	1	0	891	0.0	0.0
891	0	0	763	0.0	0.0
763	0	0	635	0.0	0.0
635	-1	0	506	0.0	0.0
506	1	0	507	0.0	0.0
507	1	0	380	0.0	0.0
380	-1	0	251	0.0	0.0
251	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	-1	0	116	0.0	0.0
116	0	0	116	0.0	0.0
116	-1	0	115	0.0	0.0
115	-1	0	122	0.0	0.0
122	1	0	123	0.0	0.0
123	0	0	123	0.0	0.0
123	0	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	0	0	124	0.0	0.0
124	0	0	124	0.0	0.0
124	-1	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	-1	0	116	0.0	0.0
116	-1	0	115	0.0	0.0
115	0	0	123	0.0	0.0
123	1	0	124	0.0	0.0
124	1	0	125	0.0	0.0
125	0	0	117	0.0	0.0
117	0	0	109	0.0	0.0
109	0	0	101	0.0	0.0
101	0	0	93	0.0	0.0
93	0	0	85	0.0	0.0
85	0	0	77	0.0	0.0
77	-1	0	68	0.0	0.0
68	0	0	68	0.0	0.0
68	0	0	68	0.0	0.0
68	-1	0	67	0.0	0.0
67	1	0	76	0.0	0.0
76	0	0	76	0.0	0.0
76	1	0	77	0.0	0.0
77	0	0	69	0.0	0.0
69	0	0	61	0.0	0.0
61	0	0	53	0.0	0.0
53	0	0	45	0.0	0.0
45	-1	0	36	0.0	0.0
36	-1	0	35	0.0	0.0
35	1	0	44	0.0	0.0
44	0	0	44	0.0	0.0
44	0	0	44	0.0	0.0
44	0	0	44	0.0	0.0
44	0	0	44	0.0	0.0
44	1	0	45	0.0	0.0
45	-1	0	36	0.0	0.0
36	-1	0	35	0.0	0.0
35	-1	0	42	0.0	0.0
42	-1	0	49	0.0	0.0
49	-1	0	184	0.0	0.0
184	0	0	312	0.0	0.0
312	1	0	441	0.0	0.0
441	-1	0	576	0.0	0.0
576	0	0	704	0.0	0.0
704	1	0	833	0.0	0.0
833	0	0	969	0.0	0.0
969	-1	0	1104	0.0	0.0
1104	-1	0	1239	0.0	0.0
1239	1	0	1352	0.0	0.0
1352	0	0	1480	0.0	0.0
1480	0	0	1608	0.0	0.0
1608	1	0	1737	0.0	0.0
1737	-1	0	1872	0.0	0.0
1872	1	0	2001	0.0	0.0
2001	0	0	2009	0.0	0.0
2009	0	0	2017	0.0	0.0
2017	0	0	2025	0.0	0.0
2025	1	0	2034	0.0	0.0
2034	1	0	2043	0.0	0.0
2043	1	0	1916	0.0	0.0
1916	1	0	1789	0.0	0.0
1789	-1	0	1652	0.0	0.0
1652	1	0	1525	0.0	0.0
1525	1	0	1390	0.0	0.0
1390	-1	0	1381	0.0	0.0
1381	0	0	1245	0.0	0.0
1245	-1	0	1108	0.0	0.0
1108	0	0	980	0.0	0.0
980	1	0	853	0.0	0.0
853	-1	0	716	0.0	0.0
716	1	0	589	0.0	0.0
589	-1	0	452	0.0	0.0
452	0	0	324	0.0	0.0
324	-1	0	195	0.0	0.0
195	0	0	75	0.0	0.0
75	-1	0	82	0.0	0.0
82	0	0	90	0.0	0.0
90	1	0	99	0.0	0.0
99	0	0	107	0.0	0.0
107	0	0	115	0.0	0.0
115	-1	0	122	0.0	0.0
122	-1	0	121	0.0	0.0
121	-1	0	248	0.0	0.0
248	0	0	376	0.0	0.0
376	0	0	504	0.0	0.0
504	1	0	633	0.0	0.0
633	0	0	761	0.0	0.0
761	-1	0	888	0.0	0.0
888	0	0	1016	0.0	0.0
1016	0	0	1144	0.0	0.0
1144	-1	0	1279	0.0	0.0
1279	-1	0	1398	0.0	0.0
1398	1	0	1391	0.0	0.0
1391	-1	0	1510	0.0	0.0
1510	1	0	1503	0.0	0.0
1503	-1	0	1622	0.0	0.0
1622	0	0	1614	0.0	0.0
1614	-1	0	1605	0.0	0.0
1605	0	0	1469	0.0	0.0
1469	0	0	1333	0.0	0.0
1333	0	0	1197	0.0	0.0
1197	0	0	1061	0.0	0.0
1061	-1	0	924	0.0	0.47829690000000014
924	-1	0	795	0.5314410000000002	0.5314410000000002
795	1	0	676	0.0	0.0
676	1	0	549	0.0	0.0
549	1	0	414	0.0	0.0
414	-1	0	405	0.0	0.0
405	0	0	269	0.0	0.0
269	0	0	133	0.0	0.0
133	1	0	6	0.0	0.0
6	1	0	7	0.0	0.0
7	-1	0	134	0.0	0.0
134	-1	0	133	0.0	0.0
133	-1	0	4	0.0	0.0
4	1	0	5	0.0	0.0
5	0	0	5	0.0	0.0
5	0	0	5	0.0	0.0
5	-1	0	4	0.0	0.0
4	0	0	4	0.0	0.0
4	-1	0	3	0.0	0.0
3	-1	0	10	0.0	0.0
10	-1	0	17	0.0	0.0
17	0	0	153	0.0	0.0
153	0	0	289	0.0	0.0
289	-1	0	424	0.0	0.0
424	1	0	553	0.0	0.0
553	1	0	690	0.0	0.0
690	-1	0	697	0.0	0.0
697	-1	0	832	0.0	0.0
832	1	0	961	0.0	0.0
961	1	0	1098	0.0	0.0
1098	1	0	1107	0.0	0.0
1107	0	0	987	0.0	0.0
987	1	0	868	0.0	0.0
868	-1	0	739	0.0	0.0
739	-1	0	618	0.0	0.0
618	-1	0	625	0.0	0.0
625	-1	0	760	0.0	0.0
760	-1	0	895	0.0	0.0
895	-1	0	1014	0.0	0.0
1014	-1	0	1005	0.0	0.0
1005	1	0	870	0.0	0.0
870	1	0	863	0.0	0.0
863	0	0	983	0.0	0.0
983	1	0	1096	0.0	0.0
1096	1	0	1225	0.0	0.0
1225	-1	0	1360	0.0	0.0
1360	0	0	1488	0.0	0.0
1488	-1	0	1623	0.0	0.0
1623	-1	0	1742	0.0	0.0
1742	0	0	1734	0.0	0.0
1734	1	0	1727	0.0	0.0
1727	1	0	1840	0.0	0.0
1840	0	0	1968	0.0	0.0
1968	0	0	1968	0.0	0.0
1968	-1	0	1975	0.0	0.0
1975	0	0	1967	0.0	0.0
1967	0	0	1959	0.0	0.0
1959	1	0	1944	0.0	0.0
1944	0	0	1944	0.0	0.0
1944	-1	0	1951	0.0	0.0
1951	0	0	1943	0.0	0.0
1943	1	0	1928	0.0	0.0
1928	0	0	1928	0.0	0.0
1928	-1	0	1935	0.0	0.0
1935	1	0	1920	0.0	0.0
1920	1	0	1921	0.0	0.0
1921	1	0	1930	0.0	0.0
1930	1	0	1939	0.0	0.0
1939	-1	0	1818	0.0	0.0
1818	1	0	1827	0.0	0.0
1827	-1	0	1706	0.0	0.0
1706	0	0	1714	0.0	0.0
1714	1	0	1723	0.0	0.0
1723	0	0	1603	0.0	0.0
1603	1	0	1484	0.0	0.0
1484	1	0	1357	0.0	0.0
1357	0	0	1221	0.0	0.0
1221	-1	0	1084	0.0	0.0
1084	0	0	956	0.0	0.0
956	1	0	829	0.0	0.0
829	1	0	694	0.0	0.0
694	0	0	686	0.0	0.0
686	1	0	679	0.0	0.0
679	1	0	792	0.0	0.0
792	1	0	921	0.0	0.0
921	0	0	1057	0.0	0.0
1057	-1	0	1192	0.0	0.0
1192	-1	0	1327	0.0	0.0
1327	-1	0	1446	0.0	0.0
1446	-1	0	1437	0.0	0.0
1437	0	0	1301	0.0	0.0
1301	1	0	1166	0.0	0.0
1166	0	0	1158	0.0	0.0
1158	0	0	1158	0.0	0.0
1158	0	0	1158	0.0	0.0
1158	-1	0	1157	0.0	0.0
1157	-1	0	1028	0.0	0.0
1028	-1	0	899	0.0	0.0
899	0	0	779	0.0	0.0
779	1	0	660	0.0	0.0
660	0	0	532	0.0	0.0
532	1	0	405	0.0	0.0
405	-1	0	268	0.0	0.0
268	-1	0	139	0.0	0.0
139	1	0	20	0.0	0.0
20	1	0	21	0.0	0.0
21	-1	0	12	0.0	0.0
12	0	0	12	0.0	0.0
12	1	0	13	0.0	0.0
13	0	0	5	0.0	0.0
5	0	0	5	0.0	0.0
5	0	0	5	0.0	0.0
5	1	0	6	0.0	0.0
6	0	0	6	0.0	0.0
6	1	0	7	0.0	0.0
7	1	0	128	0.0	0.0
128	0	0	256	0.0	0.0
256	-1	0	391	0.0	0.0
391	-1	0	518	0.0	0.0
518	0	0	518	0.0	0.0
518	-1	0	517	0.0	0.0
517	-1	0	388	0.0	0.0
388	0	0	260	0.0	0.0
260	0	0	132	0.0	0.0
132	-1	0	3	0.0	0.0
3	-1	0	10	0.0	0.0
10	1	0	19	0.0	0.0
19	0	0	27	0.0	0.0
27	1	0	36	0.0	0.0
36	-1	0	35	0.0	0.0
35	0	0	43	0.0	0.0
43	-1	0	50	0.0	0.0
50	0	0	58	0.0	0.0
58	-1	0	65	0.0	0.0
65	-1	0	200	0.0	0.0
200	-1	0	335	0.0	0.5314410000000002
335	-1	0	454	0.0	0.0
454	1	0	447	0.0	0.0
447	-1	0	566	0.0	0.0
566	-1	0	557	0.0	0.0
557	-1	0	420	0.0	0.0
420	1	0	293	0.0	0.0
293	0	0	157	0.0	0.0
157	1	0	22	0.0	0.0
22	-1	0	13	0.0	0.0
13	-1	0	4	0.0	0.0
4	0	0	4	0.0	0.0
4	0	0	4	0.0	0.0
4	0	0	4	0.0	0.0
4	1	0	5	0.0	0.0
5	0	0	5	0.0	0.0
5	1	0	6	0.0	0.0
6	0	0	6	0.0	0.0
6	0	0	6	0.0	0.0
6	1	0	7	0.0	0.0
7	1	0	128	0.0	0.0
128	0	0	256	0.0	0.0
256	1	0	385	0.0	0.0
385	1	0	522	0.0	0.0
522	1	0	531	0.0	0.0
531	-1	0	410	0.0	0.0
410	1	0	419	0.0	0.0
419	0	0	299	0.0	0.0
299	0	0	179	0.0	0.0
179	1	0	60	0.0	0.0
60	-1	0	59	0.0	0.0
59	-1	0	66	0.0	0.0
66	-1	0	73	0.0	0.0
73	-1	0	208	0.0	0.0
208	1	0	337	0.0	0.0
337	1	0	474	0.0	0.0
474	1	0	483	0.0	0.0
483	-1	0	362	0.0	0.0
362	0	0	370	0.0	0.0
370	0	0	378	0.0	0.0
378	-1	0	377	0.0	0.0
377	-1	0	504	0.0	0.0
504	-1	0	639	0.0	0.0
639	1	0	752	0.0	0.0
752	-1	0	887	0.0	0.0
887	-1	0	1006	0.0	0.0
1006	1	0	999	0.0	0.0
999	0	0	1119	0.0	0.0
1119	0	0	1239	0.0	0.0
1239	-1	0	1358	0.0	0.0
1358	-1	0	1349	0.0	0.0
1349	-1	0	1212	0.0	0.0
1212	0	0	1084	0.0	0.0
1084	1	0	957	0.0	0.0
957	-1	0	820	0.0	0.0
820	1	0	693	0.0	0.0
693	-1	0	556	0.0	0.0
556	-1	0	427	0.0	0.0
427	1	0	308	0.0	0.0
308	1	0	181	0.0	0.0
181	1	0	46	0.0	0.0
46	-1	0	37	0.0	0.0
37	1	0	30	0.0	0.0
30	-1	0	21	0.0	0.0
21	0	0	13	0.0	0.0
13	1	0	6	0.0	0.0
6	0	0	6	0.0	0.0
6	0	0	6	0.0	0.0
6	1	0	7	0.0	0.0
7	0	0	135	0.0	0.0
135	1	0	256	0.0	0.0
256	-1	0	391	0.0	0.0
