curr_state	curr_action	next_reward	next_state	old_value	new_value
1118	-1	0	1109	0.0	0.0
1109	-1	0	972	0.0	0.0
972	-1	0	843	0.0	0.0
843	-1	0	722	0.0	0.0
722	0	0	730	0.0	0.0
730	-1	0	737	0.0	0.0
737	-1	0	872	0.0	0.0
872	1	0	1001	0.0	0.0
1001	-1	0	1136	0.0	0.0
1136	0	0	1264	0.0	0.0
1264	-1	0	1399	0.0	0.0
1399	-1	0	1518	0.0	0.0
1518	-1	0	1509	0.0	0.0
1509	0	0	1373	0.0	0.0
1373	-1	0	1236	0.0	0.0
1236	-1	0	1107	0.0	0.0
1107	1	0	988	0.0	0.0
988	-1	0	859	0.0	0.0
859	-1	0	738	0.0	0.0
738	-1	0	745	0.0	0.0
745	-1	0	880	0.0	0.0
880	-1	0	1015	0.0	0.0
1015	0	0	1135	0.0	0.0
1135	0	0	1255	0.0	0.0
1255	-1	0	1374	0.0	0.0
1374	-1	0	1365	0.0	0.0
1365	-1	0	1228	0.0	0.0
1228	-1	0	1099	0.0	0.0
1099	1	0	980	0.0	0.0
980	1	0	853	0.0	0.0
853	-1	0	716	0.0	0.0
716	-1	0	587	0.0	0.0
587	-1	0	466	0.0	0.0
466	-1	0	473	0.0	0.0
473	0	0	609	0.0	0.0
609	-1	0	744	0.0	0.0
744	1	0	873	0.0	0.0
873	-1	0	1008	0.0	0.0
1008	-1	0	1143	0.0	0.0
1143	1	0	1256	0.0	0.0
1256	0	0	1384	0.0	0.0
1384	-1	0	1519	0.0	0.0
1519	-1	0	1638	0.0	0.0
1638	0	0	1630	0.0	0.0
1630	-1	0	1621	0.0	0.0
1621	-1	0	1484	0.0	0.0
1484	-1	0	1355	0.0	0.0
1355	-1	0	1234	0.0	0.0
1234	-1	0	1241	0.0	0.0
1241	-1	0	1376	0.0	0.0
1376	-1	0	1511	0.0	0.0
1511	1	0	1624	0.0	0.0
1624	0	0	1752	0.0	0.0
1752	-1	0	1887	0.0	0.0
1887	-1	0	2006	0.0	0.0
2006	-1	0	1997	0.0	0.0
1997	-1	0	1860	0.0	0.0
1860	0	0	1732	0.0	0.0
1732	-1	0	1603	0.0	0.0
1603	-1	0	1482	0.0	0.0
1482	1	0	1491	0.0	0.0
1491	0	0	1371	0.0	0.0
1371	1	0	1252	0.0	0.0
1252	1	0	1125	0.0	0.0
1125	0	0	989	0.0	0.0
989	0	0	853	0.0	0.0
853	-1	0	716	0.0	0.0
716	-1	0	587	0.0	0.0
587	1	0	468	0.0	0.0
468	-1	0	339	0.0	0.0
339	-1	0	218	0.0	0.0
218	-1	0	225	0.0	0.0
225	1	0	362	0.0	0.0
362	-1	0	369	0.0	0.0
369	-1	0	504	0.0	0.0
504	1	0	633	0.0	0.0
633	-1	0	760	0.0	0.0
760	0	0	888	0.0	0.0
888	-1	0	1023	0.0	0.0
