dim	coefficient
0	0.056728192030735355
1	0.017090145282544683
2	0.009931787153435623
3	-0.0023646389228044046
4	0.044163057228986766
5	0.043719683790861226
6	0.02112506283268884
7	0.058946725459570276
8	-0.013331489236438848
9	0.05422825969636287
10	-0.017760149482154916
11	-0.004859746380592972
12	-0.02349398511846583
13	0.05014056564947126
14	0.07071844988548068
15	0.01648727603488781
16	-0.03175016278624548
17	0.04511467414793273
18	-0.015055664400588059
19	0.015659838205604983
20	-0.04205280566720644
21	0.0977983511201869
22	0.027660931396501096
23	0.00830693440321252
24	-0.01849332744678483
25	0.020533968326268005
26	0.09315239571035258
27	-0.021792539704039708
28	-0.06046406401013961
29	-0.0011234209237506038
30	0.10438084522195717
31	0.03012887485369227
32	-0.03451505393524917
33	-0.13087687717038637
34	-0.08990811021532984
35	0.03191337931068547
36	-0.05259418724841783
37	0.055967000739881104
38	0.026999730174821046
39	0.01844916264527017
40	-0.008861650043613518
41	-0.004362838882773036
42	0.036627832985489876
43	-0.0779452478881294
44	-0.0210538625319186
45	-0.07419087268786947
46	0.02611810691293895
47	0.04562232837422392
48	0.08048371866253684
49	-0.09925644377633532
50	0.01653032110040989
51	-0.03550042419436014
52	-0.028716662792546054
53	-0.045551766955243295
54	-0.025931917031560107
55	-0.03903502630612371
56	-0.016886836523518522
57	0.027280854239553953
58	-0.01642682288566285
59	0.008091509723813443
60	0.009442648941889068
61	0.030518907181558683
62	0.0030012037890512384
63	0.056870352363805984
64	-0.06683997055677707
65	-0.05415081460021484
66	-0.08560087114124566
67	-0.015573971369428632
68	0.028868525306205102
69	-0.030497024304105926
70	0.007337674145691343
71	-0.07826492912884601
72	0.086690759991566
73	0.010806553430849394
74	0.11262216264969303
75	-0.035635657956872034
76	-0.060420518298535286
77	0.018346814391866244
78	0.03965890901223454
79	-0.02354622397114816
80	-0.04057736013172864
81	-0.11928206745068357
82	-0.06313082432833371
83	-0.06379151321752452
84	0.059737539955226036
85	0.028713593443175978
86	-0.04038260432038117
87	0.04083234413139841
88	0.0378386954763351
89	0.018592986492725488
90	0.027419593266777675
91	0.07423573950765319
92	-0.003242590012677595
93	0.07229089038695191
94	0.0037416004693076217
95	0.031626944324987714
96	-0.10224427871184605
97	0.03106905414519389
98	-0.020799315091347907
99	-0.056898805547980776
100	0.019614867789878976
101	-0.00047728610217166907
102	0.001435786976612354
103	-0.09941585416996615
104	-0.05675347139981652
105	0.0838306391143115
106	-0.03341698974707438
107	-0.011149506304171216
108	-0.09739934225611836
109	-0.010617324562559914
110	0.04665116469635077
111	-0.048257900599483546
112	0.0027495353157975873
113	0.07801021418144787
114	-0.012172291961668264
115	-0.0017968581679494028
116	-0.06142412228384541
117	0.03550826413384643
118	0.020263099896900328
119	-0.0066459429803757825
120	-0.023614268065178655
121	-0.03558294249654059
122	-0.008919719308894573
123	0.029532389960804973
124	0.05312107916083387
125	0.018735298205721087
126	-0.005118454658082465
127	-0.04470084737488329
128	0.01960750296458713
129	0.039878502014600026
130	0.015868384936686495
131	-0.08719835550681404
132	0.025736235391625114
