asset	allocation
AAPL	2.3149080592240168e-09
AMZN	2.7878791929945737e-09
GOOG	2.61319601623106e-09
META	0.9999999893873871
SPY	2.5422018829231916e-09
TSLA	3.544281568843896e-10
