state	speed_discomfort	minimize_discomfort
exposed-1	5.119995263383506	0.7499990712828062
exposed-2	6.3999952631051675	1.4999985671220437
exposed-3	7.999995262858341	2.9999977901389268
recovered	-0.0	-0.0
symptoms-1	9.999995262639496	5.999996593130845
symptoms-2	8.333331753695834	4.499999719983357
symptoms-3	4.9999994734385425	1.499999988647974
