	AAPL	AMZN	GOOG	META	SPY	TSLA
AAPL	0.003622813616665181	0.0004557312764934862	0.00072530757646698	-2.6029857154428274e-05	0.0007839650465663237	0.0030748043598946336
AMZN	0.0004557312764934862	0.004502425959609154	0.002315636451467523	0.004816498962582261	0.0017130132881642897	0.0057629911739735945
GOOG	0.00072530757646698	0.002315636451467523	0.004806810001987852	0.00116256541898065	0.0005597898315132299	0.0035914409136517415
META	-2.6029857154428274e-05	0.004816498962582261	0.00116256541898065	0.009290569532813759	0.0023854663729764936	0.0017287940692031802
SPY	0.0007839650465663237	0.0017130132881642897	0.0005597898315132299	0.0023854663729764936	0.0012252951659241797	0.001970927652437294
TSLA	0.0030748043598946336	0.0057629911739735945	0.0035914409136517415	0.0017287940692031802	0.001970927652437294	0.0243578104741441
